"Installment"," Installment"
"Payment ID","Payment ID"
"Payment Success","Payment Success, Payment ID: "
"Installment Info:","Installment Info: "
"Pay with iyzico","Pay with iyzico"
"Pay with iyzico-It’s Easy Now!","Pay with iyzico-It’s Easy Now!"
"You can easily pay for your shopping with your iyzico balance, with your stored card or money transfer method; get 24/7 live support with the advantage of iyzico Buyer Protection on any matter.","You can easily pay for your shopping with your iyzico balance, with your stored card or money transfer method; get 24/7 live support with the advantage of iyzico Buyer Protection on any matter."
"Bank Transfer is waiting.","Bank Transfer is waiting."
"Bank Transfer success.","Bank Transfer success."


